borrower_id,ghana_card,hashed_mobile,credit_score,default_probability,last_score_date,num_active_loans,total_outstanding_balance,num_loans_past_due,max_days_past_due,num_past_defaults,months_since_last_default,avg_monthly_volume,avg_transaction_frequency,avg_airtime_topup_consistency,elec_on_time_count,elec_disconnections,total_applications_last_30_days,avg_loan_to_income_ratio,night_applications,last_activity_date
1,GHA-1000001A,d173f7cf04db802661e8bc37439ed4eca01a9bf288157ca5f29f7f310907b6a6,615,0.1387,2026-05-02,3,1973.00,0,0,0,,0.000000,1.0000,44.5200000000,,,,,,2025-12-22
2,GHA-1000002B,dba5f290c7639569fd247a3769c6c1f7c23b782dda54fa6ab40121a65e3abff5,835,0.4485,2026-05-02,3,1455.00,1,5,0,,0.000000,1.0000,,1,0,,,,2026-02-06
3,GHA-1000003C,ea9a1714adef55ad5d55acf07111f6b5c8b65c0672a32387e93ca06efd5e4a3f,478,0.2725,2026-05-02,2,529.00,1,139,1,2,0.000000,1.0000,,0,0,1,0.2313580000,0,2025-09-06
4,GHA-1000004D,1b0ac0bc4c229114c69a87f9526fa048035018daeac39d9fb42486942851447a,516,0.1422,2026-05-02,2,566.00,0,0,0,,0.000000,1.0000,187.3500000000,,,,,,2025-12-11
5,GHA-1000005E,8a82bb654f739f06aeb747ecb532764579ac8886b85146d20415ba8effdc7bb5,594,0.2483,2026-05-02,3,3000.00,2,120,2,25,0.000000,1.0000,,,,,,,2026-02-17 07:13:55
6,GHA-1000006F,a88c836eff4ef61eb1fef9da31419e761edb2a8a7821d8d57f038064ed1702aa,650,0.4382,2026-05-02,2,3660.00,1,180,2,23,0.000000,1.0000,359.6000000000,0,0,,,,2025-11-11
7,GHA-1000007G,28456167d4aa807497c7cf60994f9969f678359a3567c198ac831caf3d5877e7,455,0.0905,2026-05-02,2,8937.00,1,300,1,27,475.000000,1.0000,,,,1,2.1350000000,0,2026-05-08
8,GHA-1000008H,79e1f26666582688cf45a4a4eb39a09a03ed08db27a0dff21f01a5dcc37f3831,635,0.7754,2026-05-02,2,2468.00,1,30,0,,278.620000,1.0000,,,,,,,2026-05-02 07:13:55
9,GHA-1000009I,4a6f244881196357ec0e4961e9e0e842f7cd8062e90ae992b107ca7fa92316b6,327,0.9180,2026-05-02,2,2518.00,1,15,0,,478.880000,1.0000,,,,,,,2025-10-08
10,GHA-1000010J,a216de5f6820fa41eb7f534f5821ee59905366999aad41d453f8725b52b0585c,544,0.4634,2026-05-02,2,794.00,2,141,1,20,137.930000,1.0000,,,,,,,2025-12-20
11,GHA-1000011K,b7b4b160d951415f7589a31a9ab877a9ed2cfe19095c6b22289860be8a4d4c2b,843,0.5433,2026-05-02,2,750.00,1,45,1,19,0.000000,1.0000,,,,1,0.9711340000,0,2025-10-20 07:13:55
12,GHA-1000012L,0ab56ce0807bc59896ad8f8c01cb1563de3fbb85128834c968294596a34800d2,716,0.1517,2026-05-02,2,1878.00,1,90,1,19,0.000000,1.0000,,,,,,,2026-03-01 07:13:55
